Тема,Социальная сеть,Целевая аудитория,Дополнительная информация,num_message,stage,prompt,model
Психология цвета,Telegram,"Дизайнеры, маркетологи и все заинтересованные в влиянии цвета на восприятие информации",Поделиться исследованиями и рекомендациями по использованию цветов,18,extract,3,suzume-llama-3-8b-Q8_0
Как управлять своими финансами,Telegram,"Люди всех возрастов, заинтересованные в финансовом образовании и саморазвитии","Использовать хэштеги #финансы #бюджетирование. Предложить советы по управлению бюджетом, инвестициям и сбережениям",19,extract,3,suzume-llama-3-8b-Q8_0
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди интересующиеся использованием музыки для улучшения состояния",Использовать хэштеги #музыка #настроение #работоспособность. Поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций,20,extract,3,suzume-llama-3-8b-Q8_0
Как развивать эмоциональный интеллект,ВКонтакте,"Люди всех возрастов, интересующиеся развитием эмоционального интеллекта",Использовать хэштеги #эмоциональныйинтеллект #развитие. Предложить методы и упражнения для улучшения взаимодействия с людьми,21,extract,3,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на психическое здоровье,Telegram,Люди проводящие много времени в интернете,Использовать хэштеги #психическое_здоровье #социальные_сети. Обсудить влияние социальных сетей на психическое состояние,22,extract,3,suzume-llama-3-8b-Q8_0
Как справиться с выгоранием,Telegram,"Люди, чувствующие усталость и потерю интереса к работе или учёбе",Использовать хэштеги #выгорание #психология. Поделиться методами борьбы с эмоциональным выгоранием,23,extract,3,suzume-llama-3-8b-Q8_0
Влияние спорта на здоровье мозга,ВКонтакте,"Люди всех возрастов, интересующиеся вопросами здоровья и физической активности",Использовать хэштеги #спорт #здоровье #мозг. Обсудить различные виды спорта и их влияние на когнитивные функции,24,extract,3,suzume-llama-3-8b-Q8_0
Как развить эмпатию,Twitter,"Люди всех возрастов, интересующиеся развитием эмпатии и улучшением взаимопонимания",Использовать хэштеги #эмпатия #развитиеэмпатии. Предложить практические советы и методы для развития эмпатии,25,extract,3,suzume-llama-3-8b-Q8_0
Влияние музыки на память,Twitter,Люди всех возрастов интересующиеся улучшением памяти,Использовать хэштеги #музыка #память. Поделиться исследованиями и рекомендациями по выбору музыки для запоминания информации.,26,extract,3,suzume-llama-3-8b-Q8_0
Как создать гармоничные отношения,Telegram,"Люди всех возрастов, интересующиеся вопросами отношений и семейной жизни",Использовать хэштеги #отношения #гармония. Поделиться советами по созданию крепких и здоровых отношений,27,extract,3,suzume-llama-3-8b-Q8_0
Влияние стресса на организм,ВКонтакте,"Люди всех возрастов, сталкивающиеся со стрессом в повседневной жизни",Использовать хэштеги #стресс #здоровье. Обсудить влияние стресса на физическое и психическое здоровье,28,extract,3,suzume-llama-3-8b-Q8_0
Как развить креативность,Twitter,"Люди всех возрастов, интересующиеся развитием креативности и мыслительной активностью",Использовать хэштеги #креативность #развитиеумысли. Предложить упражнения для стимуляции творчества,29,extract,3,suzume-llama-3-8b-Q8_0
Влияние технологий на образование,Instagram,Молодежь 15-25 лет решающие куда поступать,Использовать хэштеги #образование #университет. Дать советы по выбору образовательного учреждения и его уровня,30,extract,3,suzume-llama-3-8b-Q8_0
Как справиться с тревогой,Instagram,"Люди, испытывающие беспокойство и тревогу",Использовать хэштеги #тревога #управлениестрессом. Поделиться методами снижения тревоги,31,extract,3,suzume-llama-3-8b-Q8_0
Влияние искусства на эмоциональное состояние,ВКонтакте,"Люди, интересующиеся искусством и его влиянием на эмоции","Использовать хэштеги #искусство #эмоциональное состояние. Обсудить различные формы искусства (музыка, живопись, театр) и их влияние на настроение",32,extract,3,suzume-llama-3-8b-Q8_0
Как развить лидерские качества,Telegram,"Люди, стремящиеся стать лидерами или уже занимающие руководящие позиции",Использовать ссылки на полезные ресурсы и книги по развитию лидерских качеств. Предложить практические упражнения для саморазвития.,33,extract,3,suzume-llama-3-8b-Q8_0
Влияние питания на когнитивные функции,Instagram,"Люди всех возрастов, интересующиеся улучшением памяти и концентрации",Использовать хэштеги #питание #когнитивныефункции. Поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций.,34,extract,3,suzume-llama-3-8b-Q8_0
Как создать эффективную команду,Telegram,"Работники и руководители, работающие в командах","Использовать хэштеги #команда #эффективность. Дать советы по формированию команды, распределению задач, коммуникации внутри команды и управлению конфликтами.",35,extract,3,suzume-llama-3-8b-Q8_0
Влияние окружающей среды на здоровье,ВКонтакте,"Люди, заботящиеся о своем здоровье",Использовать хэштеги #здоровье #окружающаясреда. Обсудить влияние окружающей среды на физическое и психическое здоровье,36,extract,3,suzume-llama-3-8b-Q8_0
Как развить навыки общения,Telegram,"Люди, желающие улучшить свои коммуникативные навыки",Использовать хэштеги #коммуникация #развитие_навыков. Предложить практические советы и методики для улучшения общения.,37,extract,3,suzume-llama-3-8b-Q8_0
Влияние путешествий на личность,Twitter,Люди любящие путешествовать и интересующиеся влиянием путешествий на личность,"Использовать хэштеги #путешествия #личностноеразвитие. Обсудить, как путешествия формируют мировоззрение и личность",38,extract,3,suzume-llama-3-8b-Q8_0
Как развить самодисциплину,Telegram,"Люди всех возрастов, стремящиеся к личностному росту и достижению целей",Использовать хэштеги #самодисциплина #личностныйрост. Предложить практические советы и методы для развития самодисциплины,39,extract,3,suzume-llama-3-8b-Q8_0
Рекомендации по чтению для расширения кругозора и поиска вдохновения,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение","Публикация должна быть интересной и информативной, включать краткое описание книг с указанием их влияния на читателя. Важно подчеркнуть, что каждая книга может изменить жизнь читателя.",0,extract,4,suzume-llama-3-8b-Q8_0
Сколько книг нужно читать в год для поддержания интеллектуального развития,Telegram,"Люди, заинтересованные в самосовершенствовании и чтении",Публикация должна включать личный опыт и советы по чтению,1,extract,4,suzume-llama-3-8b-Q8_0
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, стремящиеся начать день с бодрости и энергии","Публикация в Instagram должна быть визуально привлекательной, включая фотографии упражнений и короткие видео демонстрации. Использование хештегов для увеличения видимости поста.",2,extract,4,suzume-llama-3-8b-Q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни",Публикация должна быть вдохновляющей и мотивирующей,3,extract,4,suzume-llama-3-8b-Q8_0
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,"садоводы и огородники, желающие получить богатый урожай",,4,extract,4,suzume-llama-3-8b-Q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, заинтересованные в выращивании томатов в открытом грунте","Предоставить список сортов томатов, подходящих для выращивания в условиях Сибири, с учетом климатических особенностей региона",5,extract,4,suzume-llama-3-8b-Q8_0
Влияние искусственного интеллекта на будущее мировой политики,Телеграмм,"Люди, интересующиеся политикой и технологиями",,6,extract,4,suzume-llama-3-8b-Q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"молодые люди, заинтересованные в политике и участии в политической жизни страны","Публикация должна быть информативной, но доступной для понимания широкой аудитории. Важно подчеркнуть важность активного участия молодёжи в политических процессах и обсудить возможные пути их включения.",7,extract,4,suzume-llama-3-8b-Q8_0
Как анализ больших данных помогает оптимизировать бизнес- процессы,ВКонтакте,"предприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",,8,extract,4,suzume-llama-3-8b-Q8_0
Перспективы развития аналитики больших данных в ближайшие годы,Instagram,специалисты в области аналитики данных и IT,Публикация поможет обсудить тенденции развития аналитики данных,9,extract,4,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на формирование общественного мнения,Telegram,"Люди, интересующиеся влиянием медиа на общество",Публикация в Telegram поможет обсудить роль социальных сетей в формировании мнений,10,extract,4,suzume-llama-3-8b-Q8_0
Будущее интернет-рекламы: тренды и прогнозы,Telegram,"маркетологи, рекламодатели",Публикация в Telegram поможет обсудить будущее интернет-рекламы,11,extract,4,suzume-llama-3-8b-Q8_0
Как развить критическое мышление,Instagram,"Люди, желающие научиться анализировать информацию и принимать обоснованные решения",Публикация будет включать методы и упражнения для развития критического мышления,12,extract,4,suzume-llama-3-8b-Q8_0
Экологические проблемы современного мира,Instagram,"Люди, заботящиеся о будущем нашей планеты",Публикация в Instagram поможет обсудить экологические проблемы и способы их решения,13,extract,4,suzume-llama-3-8b-Q8_0
Искусство медитации,Телеграм,"Люди, ищущие способы расслабления и справления со стрессом",Публикация поможет поделиться техниками медитации и её преимуществами,14,extract,4,suzume-llama-3-8b-Q8_0
Как стать более организованным,Telegram,"Люди, желающие улучшить свою продуктивность и эффективность",Методы организации времени и пространства,15,extract,4,suzume-llama-3-8b-Q8_0
Здоровое питание,Twitter,"Люди, заинтересованные в здоровом образе жизни и стремящиеся к правильному питанию",Предложения по выбору продуктов и составлению рациона,16,extract,4,suzume-llama-3-8b-Q8_0
Как развивать творческие способности,Instagram,"Люди, желающие раскрыть свой творческий потенциал",Публикация поможет поделиться методами и упражнениями для развития творческих способностей,17,extract,4,suzume-llama-3-8b-Q8_0
Психология цвета: Как цвета влияют на восприятие информации,Telegram,"Дизайнеры, маркетологи и все заинтересованные в психологии цвета","Публикация должна включать краткое описание основных принципов психологии цвета, примеры использования цветов в дизайне и маркетинге, а также ссылки на исследования и ресурсы для дальнейшего изучения.",18,extract,4,suzume-llama-3-8b-Q8_0
Как управлять своими финансами,Телеграм,"Люди, желающие научиться грамотно распоряжаться своими деньгами","Публикация поможет поделиться советами по управлению бюджетом, инвестициям и сбережениям",19,extract,4,suzume-llama-3-8b-Q8_0
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, пользователи социальных сетей",Публикация поможет поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций,20,extract,4,suzume-llama-3-8b-Q8_0
Как развивать эмоциональный интеллект,ВКонтакте,"Люди, заинтересованные в развитии своих эмоциональных навыков и улучшении взаимодействия с другими людьми.",Предложить методы и упражнения для повышения эмоционального интеллекта.,21,extract,4,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на психическое здоровье,Telegram,"Люди, проводящие много времени в интернете",Публикация поможет обсудить влияние социальных сетей на психическое состояние,22,extract,4,suzume-llama-3-8b-Q8_0
Как справиться с выгоранием,Телеграм,"Люди, чувствующие усталость и потерю интереса к работе или учёбе",Публикация поможет поделиться методами борьбы с эмоциональным выгоранием,23,extract,4,suzume-llama-3-8b-Q8_0
Влияние спорта на здоровье мозга,ВКонтакте,"Люди, заботящиеся о своем здоровье",Публикация поможет обсудить влияние занятий спортом на работу мозга,24,extract,4,suzume-llama-3-8b-Q8_0
Как развить эмпатию,Twitter,"Люди, заинтересованные в развитии навыков общения и взаимопонимания","Предложить несколько практик для улучшения эмпатии, такие как активное слушание, задавание вопросов и использование эмоционального интеллекта",25,extract,4,suzume-llama-3-8b-Q8_0
Влияние музыки на память,Twitter,"Люди, интересующиеся улучшением своей памяти и использованием музыки для запоминания информации","Публикация должна включать краткие анонсы исследований о влиянии музыки на память, советы по выбору музыки для обучения и запоминания, а также примеры успешного применения музыки в образовательных целях.",26,extract,4,suzume-llama-3-8b-Q8_0
Как создать гармоничные отношения,Телеграм,"Люди, желающие построить крепкие и здоровые отношения",Публикация поможет поделиться советами по созданию гармонии в отношениях,27,extract,4,suzume-llama-3-8b-Q8_0
Влияние стресса на организм,ВКонтакте,"Люди, сталкивающиеся со стрессом в повседневной жизни",Публикация поможет обсудить влияние стресса на физическое и психическое здоровье,28,extract,4,suzume-llama-3-8b-Q8_0
Как развить креативность,Twitter,"Люди, желающие научиться мыслить нестандартно и находить новые решения",Публикация поможет поделиться методами и упражнениями для развития креативности,29,extract,4,suzume-llama-3-8b-Q8_0
Влияние технологий на образование,Телеграм,"Люди, интересующиеся изменениями в образовательной сфере",Публикация поможет обсудить влияние технологий на качество и доступность образования,30,extract,4,suzume-llama-3-8b-Q8_0
Как справиться с тревогой,Instagram,"Люди, испытывающие беспокойство и тревогу",Публикация поможет поделиться методами снижения тревоги и управления стрессом,31,extract,4,suzume-llama-3-8b-Q8_0
Влияние искусства на эмоциональное состояние,ВКонтакте,"Люди, ценящие искусство и заинтересованные в обсуждении его влияния на эмоции и настроение","Публикация должна быть интересной для широкой аудитории, включать примеры из разных видов искусства (литература, музыка, живопись) и вызывать отклик у читателей",32,extract,4,suzume-llama-3-8b-Q8_0
Как развить лидерские качества,Telegram,"Люди, стремящиеся стать лидерами или уже занимающие руководящие позиции",Методы развития лидерских качеств,33,extract,4,suzume-llama-3-8b-Q8_0
Влияние питания на когнитивные функции,Instagram,"Люди, заинтересованные в улучшении памяти и концентрации",Публикация должна содержать исследования и рекомендации по питанию для поддержания когнитивных функций,34,extract,4,suzume-llama-3-8b-Q8_0
Как создать эффективную команду,Телеграм,"Все, кто работает в команде",Публикация поможет поделиться советами по формированию и управлению эффективной командой,35,extract,4,suzume-llama-3-8b-Q8_0
Влияние окружающей среды на здоровье,ВКонтакте,"Люди, заботящиеся о своем здоровье",Публикация поможет обсудить влияние окружающей среды на физическое и психическое здоровье,36,extract,4,suzume-llama-3-8b-Q8_0
Как развить навыки общения,Телеграм,"Люди, желающие улучшить свои коммуникативные навыки",Публикация поможет поделиться методами развития навыков общения,37,extract,4,suzume-llama-3-8b-Q8_0
Влияние путешествий на личность,Twitter,"Люди, интересующиеся путешествиями и их влиянием на личность","Публикация должна быть краткой и содержать вопросы для обсуждения, чтобы стимулировать диалог с читателями.",38,extract,4,suzume-llama-3-8b-Q8_0
Как развить самодисциплину: полезные советы для достижения целей,Telegram,"Люди, стремящиеся к личностному росту и достижению поставленных целей","Предложить несколько практик для развития самодисциплины, которые могут быть легко интегрированы в повседневную жизнь пользователя",39,extract,4,suzume-llama-3-8b-Q8_0
Рекомендации по чтению для расширения кругозора и поиска вдохновения,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение",Использовать хэштеги #книги #читаем. Предложить список книг с кратким описанием каждого произведения и его влиянием на читателя.,0,extract,5,suzume-llama-3-8b-Q8_0
Сколько книг нужно читать в год для интеллектуального развития,Telegram,"Люди всех возрастов, интересующиеся самосовершенствованием и чтением",Использовать формат вопроса-ответ. Поделиться личным опытом и советами по чтению. Рекомендовать использовать библиотечные приложения для удобного доступа к книгам.,1,extract,5,suzume-llama-3-8b-Q8_0
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, стремящиеся начать день с бодрости и энергии",Использовать хэштеги #утренняязарядка #здоровый образ жизни. Добавить визуальные элементы (фотографии или видео) демонстрирующие упражнения.,2,extract,5,suzume-llama-3-8b-Q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди всех возрастов, интересующиеся историей успеха и вдохновляющимися на достижение своих целей","Использовать хэштеги #вдохновение #успех #спорт. Добавить фотографии или видео, демонстрирующие преодоление препятствий и достижение вершин",3,extract,5,suzume-llama-3-8b-Q8_0
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Telegram,"Люди, занимающиеся садоводством и огородничеством, желающие получить богатый урожай",Использовать формат видео или инфографика для наглядности. Добавить ссылку на дополнительные ресурсы с подробными инструкциями,4,extract,5,suzume-llama-3-8b-Q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, заинтересованные в выращивании томатов в открытом грунте","Использовать ссылки на статьи и видео о выращивании томатов. Предложить несколько сортов томатов, подходящих для климата Сибири, с описанием их особенностей и преимуществ.",5,extract,5,suzume-llama-3-8b-Q8_0
Влияние искусственного интеллекта на будущее мировой политики,Telegram,"Люди, интересующиеся политикой и технологиями",Использовать ссылку на статью или видео о влиянии ИИ на мировую политику. Предложить вопросы для обсуждения в комментариях,6,extract,5,suzume-llama-3-8b-Q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодежь 15-25 лет, заинтересованная в политике и готовая участвовать в её развитии","Использовать хэштеги #политика #молодежь. Предложить способы участия молодых людей в политической жизни страны, включая волонтёрство, участие в выборах и активное общение с политиками",7,extract,5,suzume-llama-3-8b-Q8_0
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,"Предприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",Использовать ссылки на статьи или исследования по анализу больших данных. Поделиться примерами успешного применения анализа данных в различных отраслях.,8,extract,5,suzume-llama-3-8b-Q8_0
Перспективы развития аналитики больших данных в ближайшие годы,Instagram,"Специалисты в области аналитики данных и IT, заинтересованные в тенденциях развития аналитики данных","Использовать хэштеги #аналитика_больших_данных #IT. Предложить актуальные курсы и ресурсы для обучения, обсудить перспективы карьерного роста в этой области",9,extract,5,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на формирование общественного мнения,Telegram,"Люди всех возрастов, интересующиеся влиянием медиа на общество и общественное мнение",Использовать ссылки на научные статьи и исследования для поддержания доверия. Предложить вопросы для обсуждения в комментариях,10,extract,5,suzume-llama-3-8b-Q8_0
Будущее интернет-рекламы: тренды и прогнозы,Telegram,"Маркетологи и рекламодатели, стремящиеся оставаться актуальными в области интернет-рекламы",Использовать ссылки на статьи и исследования о трендах в интернет-рекламе. Предложить советы по адаптации маркетинговых стратегий под новые тенденции,11,extract,5,suzume-llama-3-8b-Q8_0
Как развить критическое мышление,Instagram,"Взрослые и подростки, интересующиеся развитием умственных способностей и улучшением когнитивных функций","Использовать хэштеги #критическое_мышление #развитие_умений. Предложить практические упражнения для развития критического мышления, такие как анализ информации, оценка доверительности источников и формулирование обоснованных выводов.",12,extract,5,suzume-llama-3-8b-Q8_0
Экологические проблемы современного мира,Instagram,"Люди всех возрастов, интересующиеся экологией и заботящиеся о будущем нашей планеты","Использовать хэштеги #экология #зеленыймир. Предложить способы участия в борьбе с изменением климата, примеры экологически чистых технологий и практик",13,extract,5,suzume-llama-3-8b-Q8_0
Искусство медитации: полезные советы для расслабления и борьбы со стрессом,Telegram,"Люди всех возрастов, интересующиеся методами релаксации и управления стрессом",Использовать формат сообщений для краткого описания техник медитации. Предложить практические советы по включению медитации в повседневную жизнь.,14,extract,5,suzume-llama-3-8b-Q8_0
Как стать более организованным: советы для улучшения продуктивности и эффективности,Telegram,"Люди всех возрастов, стремящиеся повысить свою организацию и продуктивность в личной жизни и работе","Использовать формат чата для обмена советами и вопросами. Предложить несколько методик организации времени и пространства, а также примеры их применения.",15,extract,5,suzume-llama-3-8b-Q8_0
Здоровое питание: советы для поддержания здоровья,Twitter,"Люди всех возрастов, заинтересованные в улучшении своего питания и здоровья",Использовать хэштеги #здоровоепитание #рацион. Предложить советы по выбору продуктов и их сочетаниям для поддержания здоровья,16,extract,5,suzume-llama-3-8b-Q8_0
Как развивать творческие способности,Instagram,"Люди всех возрастов, интересующиеся развитием своих творческих способностей",Использовать хэштеги #творчество #развитие_способностей. Предложить несколько упражнений и методик для развития творческого мышления,17,extract,5,suzume-llama-3-8b-Q8_0
Психология цвета: влияние цвета на восприятие информации,Instagram,"Дизайнеры, маркетологи и все заинтересованные лица в возрасте от 18 до 45 лет","Использовать хэштеги #психологияцвета #влияниецвета. Поделиться исследованиями и рекомендациями по использованию цветов, включая примеры из практики.",18,extract,5,suzume-llama-3-8b-Q8_0
Как управлять своими финансами,Telegram,"Люди всех возрастов, заинтересованные в финансовом образовании и саморазвитии",Использовать формат чата для ответа на вопросы пользователей. Предложить ресурсы для дальнейшего изучения темы.,19,extract,5,suzume-llama-3-8b-Q8_0
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди, интересующиеся использованием музыки для улучшения состояния",Использовать хэштеги #музыка #настроение #работоспособность. Поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций.,20,extract,5,suzume-llama-3-8b-Q8_0
Как развивать эмоциональный интеллект,ВКонтакте,"Люди всех возрастов, заинтересованные в развитии своих эмоциональных навыков и улучшении взаимодействия с другими людьми","Использовать видеоформат для демонстрации методов и упражнений. Поделиться личными историями или примерами из жизни, чтобы сделать контент более доступным и понятным.",21,extract,5,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на психическое здоровье,Telegram,"Люди всех возрастов, проводящие много времени в интернете и заинтересованные в обсуждении влияния социальных сетей на их психическое состояние",Использовать ссылки на научные исследования и статистические данные. Предложить советы по ограничению использования социальных сетей для улучшения психического здоровья,22,extract,5,suzume-llama-3-8b-Q8_0
Как справиться с выгоранием: советы и рекомендации для улучшения качества жизни,Telegram,"Люди всех возрастов, испытывающие усталость и потерю интереса к работе или учебе",Использовать формат чата для обмена вопросами и ответами. Предложить ресурсы для дополнительного изучения темы выгорания.,23,extract,5,suzume-llama-3-8b-Q8_0
Влияние спорта на здоровье мозга,ВКонтакте,"Люди всех возрастов, интересующиеся вопросами здоровья и благополучия",Использовать хэштеги #спорт #здоровье #мозг. Предложить несколько примеров упражнений для улучшения мозговой активности,24,extract,5,suzume-llama-3-8b-Q8_0
"Как развить эмпатию: Тема, важная для всех, кто хочет лучше понимать других людей",Twitter,"Люди разных возрастов и профессий, интересующиеся развитием эмпатии",Использовать хэштеги #эмпатия #развитиеэмпатии. Поделиться методами развития эмпатии через короткие афоризмы и цитаты,25,extract,5,suzume-llama-3-8b-Q8_0
Влияние музыки на память,Twitter,Люди всех возрастов интересующиеся улучшением памяти и использованием музыки для запоминания информации,Использовать хэштеги #музыка #память. Поделиться исследованиями и рекомендациями по выбору музыки для запоминания,26,extract,5,suzume-llama-3-8b-Q8_0
Как создать гармоничные отношения,Telegram,"Люди всех возрастов, интересующиеся вопросами построения и поддержания здоровых отношений","Использовать формат чата для обмена советами и опытом. Предложить несколько ключевых моментов для обсуждения: коммуникация, уважение личного пространства, совместное времяпрепровождение.",27,extract,5,suzume-llama-3-8b-Q8_0
Влияние стресса на организм,ВКонтакте,"Люди всех возрастов, сталкивающиеся со стрессом в повседневной жизни",Использовать ссылку на научные исследования о влиянии стресса на здоровье. Предложить советы по снижению уровня стресса и улучшению самочувствия.,28,extract,5,suzume-llama-3-8b-Q8_0
Как развить креативность: методы и упражнения,Twitter,"Люди всех возрастов, интересующиеся развитием креативности и улучшением способности мыслить нестандартно",Использовать хэштеги #креативность #развитиеумышления. Поделиться короткими советами и упражнениями для развития креативности,29,extract,5,suzume-llama-3-8b-Q8_0
Влияние технологий на образование,Instagram,"Молодежь 15-25 лет, интересующиеся изменениями в образовательной сфере и их влиянием на качество и доступность образования",Использовать хэштеги #образование #технологии. Предложить примеры использования технологий в образовании и обсудить их преимущества и недостатки,30,extract,5,suzume-llama-3-8b-Q8_0
Как справиться с тревогой: советы для снижения беспокойства и управления стрессом,Instagram,"Люди всех возрастов, испытывающие тревогу и стресс","Использовать хэштеги #тревога #стресс. Предложить несколько методов снижения тревоги и управления стрессом, такие как медитация, дыхательные упражнения, физические упражнения, общение с друзьями или профессиональная помощь.",31,extract,5,suzume-llama-3-8b-Q8_0
